id	app	m	mean	std
1	grep	1	97.1467	0.398428
2	grep	2	83.2583	10.5566
3	grep	3	78.3071	21.3778
4	grep	4	87.9748	5.95932
5	grep	5	76.9506	21.018
6	grep	6	81.0925	19.4481
7	grep	7	86.2397	11.6919
8	grep	8	81.2767	17.0888
9	grep	12	85.052	17.7527
10	grep	16	87.608	12.3535
11	grep	24	86.5456	16.2096
12	grep	32	84.7183	16.2698
13	grep	48	85.1306	15.7242
14	grep	64	79.7623	16.3413
15	grep	80	68.3734	19.08
16	grep	96	54.1466	16.9287
17	grep	128	44.2793	14.2912
18	wc	1	96.87	0.317552
19	wc	2	78.9166	17.5998
20	wc	3	92.3481	2.84934
21	wc	4	75.8013	16.8546
22	wc	5	80.3109	20.5994
23	wc	6	90.1612	5.14875
24	wc	7	77.4119	21.0279
25	wc	8	83.1042	19.2398
26	wc	12	90.9716	4.79171
27	wc	16	83.327	18.5704
28	wc	24	86.512	7.26198
29	wc	32	80.5781	13.8028
30	wc	48	82.4974	10.0225
31	wc	64	63.0221	15.9588
32	wc	80	63.2569	16.0246
33	wc	96	43.7912	17.2451
34	wc	128	50.8537	16.5963
35	sol	1	92.8983	0.592667
36	sol	2	69.0454	22.745
37	sol	3	90.0305	8.14009
38	sol	4	69.9293	24.7909
39	sol	5	84.2366	16.2741
40	sol	6	93.1369	4.05504
41	sol	7	81.3981	19.1694
42	sol	8	87.7519	13.8636
43	sol	12	94.1592	4.22401
44	sol	16	90.392	11.7742
45	sol	24	95.6281	2.46019
46	sol	32	95.1733	4.67451
47	sol	48	96.1487	1.95584
48	sol	64	95.2274	4.42548
49	sol	80	94.9751	3.31073
50	sol	96	95.0242	2.56505
51	sol	128	90.6598	3.46182
52	rcount	1	97.6877	0.236701
53	rcount	2	82.9698	13.7437
54	rcount	3	92.8639	2.29059
55	rcount	4	78.9715	14.8055
56	rcount	5	81.8669	19.3219
57	rcount	6	92.0054	2.83167
58	rcount	7	79.5719	19.4263
59	rcount	8	85.8434	17.0857
60	rcount	12	91.5482	3.71739
61	rcount	16	85.6107	16.404
62	rcount	24	88.1035	5.53817
63	rcount	32	84.4223	10.9289
64	rcount	48	84.7112	7.29133
65	rcount	64	63.4923	14.2728
66	rcount	80	68.1596	13.4007
67	rcount	96	59.0997	13.8001
68	rcount	128	52.0731	15.2835
69	pv	1	97.8167	0.487013
70	pv	2	84.3126	13.2092
71	pv	3	90.5052	8.21593
72	pv	4	80.7397	12.8642
73	pv	5	85.26	10.7363
74	pv	6	88.8053	13.5207
75	pv	7	88.7747	8.2429
76	pv	8	88.3385	11.1434
77	pv	12	92.4533	8.18913
78	pv	16	88.6719	11.277
79	pv	24	91.6291	10.6062
80	pv	32	92.0679	8.7367
81	pv	48	92.965	10.2786
82	pv	64	89.2061	10.157
83	pv	80	90.7056	9.27535
84	pv	96	79.1946	18.8925
85	pv	128	80.9506	16.374
86	visitor	1	98.0165	0.211941
87	visitor	2	70.4583	26.6621
88	visitor	3	82.2733	19.5933
89	visitor	4	69.4972	28.8209
90	visitor	5	77.0579	25.8128
91	visitor	6	85.7217	14.566
92	visitor	7	74.1276	28.1635
93	visitor	8	86.8362	13.8572
94	visitor	12	89.6009	12.1644
95	visitor	16	88.0924	17.6271
96	visitor	24	94.8725	5.8467
97	visitor	32	92.3366	11.6126
98	visitor	48	93.8196	7.73024
99	visitor	64	91.5737	11.1773
100	visitor	80	92.1736	9.05607
101	visitor	96	80.1715	16.2874
102	visitor	128	72.7633	16.509
103	rsort	1	96.355	0.358231
104	rsort	2	97.4734	0.599928
105	rsort	3	97.9367	0.278648
106	rsort	4	98.1033	0.282195
107	rsort	5	98.169	0.39317
108	rsort	6	98.2865	0.379953
109	rsort	7	98.3373	0.297327
110	rsort	8	98.2487	0.401064
111	rsort	12	97.481	1.80079
112	rsort	16	98.4042	0.330068
113	rsort	24	98.4857	0.328442
114	rsort	32	98.5468	0.258214
115	rsort	48	98.4542	0.373242
116	rsort	64	98.4134	0.386821
117	rsort	80	98.3572	0.373607
118	rsort	96	98.3775	0.338945
119	rsort	128	98.359	0.428145
120	vhtree	1	12.9912	0.674213
121	vhtree	2	26.5782	6.26106
122	vhtree	3	8.55167	0.564708
123	vhtree	4	16.7805	6.46299
124	vhtree	5	14.4904	5.6433
125	vhtree	6	12.3555	6.95143
126	vhtree	7	9.46581	6.39424
127	vhtree	8	9.50958	7.4624
128	vhtree	12	6.64456	7.09128
129	vhtree	16	5.34682	6.73478
130	vhtree	24	4.06823	5.84293
131	vhtree	32	3.44727	5.1173
132	vhtree	48	2.47742	3.71285
133	vhtree	64	2.22592	3.99004
134	vhtree	80	2.19717	3.77094
135	vhtree	96	2.00181	3.31415
136	vhtree	128	1.49366	2.60776
137	clean	1	98.6912	0.0818931
138	clean	2	79.1197	18.0714
139	clean	3	84.7863	13.9778
140	clean	4	61.3749	22.3961
141	clean	5	66.5235	22.6545
142	clean	6	70.5039	23.8281
143	clean	7	60.1457	21.8201
144	clean	8	63.5054	21.1376
145	clean	12	58.2818	23.4316
146	clean	16	50.4596	22.9452
147	clean	24	28.4652	20.9442
148	clean	32	22.011	17.333
149	clean	48	15.2606	13.018
150	clean	64	11.7559	10.9954
151	clean	80	10.1133	9.92356
152	clean	96	9.56028	9.01443
153	clean	128	7.53275	7.99247
154	twitter	1	96.0288	0.476896
155	twitter	2	61.3361	33.6087
156	twitter	3	83.0576	14.4901
157	twitter	4	60.9951	36.0208
158	twitter	5	72.1761	29.2812
159	twitter	6	82.545	18.0211
160	twitter	7	67.3706	34.0745
161	twitter	8	78.045	24.5692
162	twitter	12	85.8897	14.6581
163	twitter	16	80.4357	21.8446
164	twitter	24	89.1729	11.6663
165	twitter	32	88.9625	12.8303
166	twitter	48	89.195	11.0379
167	twitter	64	85.9813	15.6406
168	twitter	80	73.4125	27.5315
169	twitter	96	64.5568	33.5854
170	twitter	128	59.8731	31.34
171	collision	1	61.8863	4.97691
172	collision	3	36.8213	24.44
173	collision	5	33.5413	25.9006
174	collision	6	36.5148	24.6494
175	collision	8	34.6721	25.2969
176	collision	9	37.1266	24.9606
177	collision	11	35.7444	25.5763
178	collision	12	37.2603	24.7699
179	collision	14	36.2766	25.3311
